operation,datetime,price
Оплата СБП QR (Сервисы Яндекса),10.12.2024 20:11,-1.73
клиента,11.12.2024 23:25,2000.0
SAINT-TET_P_QR),11.12.2024 23:25,-1887.82
клиента,12.12.2024 01:38,1000.0
клиента,12.12.2024 14:52,1700.0
Банк,12.12.2024 14:54,2000.0
Сбербанк,13.12.2024 13:09,-600.0
Y.M*N859142,12.12.2024 01:39,-1100.0
Оплата товаров и услуг SPBPU,12.12.2024 14:53,-1600.0
Сбербанк,13.12.2024 18:22,42838.93
клиента,13.12.2024 18:22,-42000.0
клиента,13.12.2024 20:22,1300.0
Озон Банк (Ozon),13.12.2024 20:23,-1960.0
клиента,13.12.2024 20:57,1000.0
Оплата СБП QR (Сервисы Яндекса),13.12.2024 20:58,-597.0
Оплата СБП QR (Сервисы Яндекса),13.12.2024 20:58,-3.0
Сбербанк,13.12.2024 22:20,7000.0
клиента,14.12.2024 09:17,128963.22
ВТБ,14.12.2024 09:18,-135000.0
ЕРМОЛИНО_P_QR),14.12.2024 11:14,-951.41
TUCHKOV_P_QR),14.12.2024 11:26,-344.97
ВТБ,14.12.2024 12:07,3000.0
цветы_P_QR),14.12.2024 12:08,-1558.0
Оплата товаров и услуг Rostics,12.12.2024 22:39,-1532.0
ВТБ,16.12.2024 16:17,2000.0
PIROGOVYY DVORIK,16.12.2024 19:09,-91.0
SBER*5411*SAMOKAT,14.12.2024 22:13,-858.0
ВТБ,17.12.2024 18:57,500.0
Сбербанк,18.12.2024 10:54,-100.0
CEKH85,16.12.2024 16:17,-2047.0
